id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.6,4.91,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.62,2,90,bench,False
7,Calafiori,Arsenal,DEF,5.7,6.17,6,74,V,True
256,Muñoz,Crystal Palace,DEF,5.6,4.12,8,90,XI,True
347,Gudmundsson,Leeds,DEF,4.0,3.4,1,78,XI,True
6,Saliba,Arsenal,DEF,6.0,3.17,6,90,XI,True
531,Ballard,Sunderland,DEF,4.6,2.12,3,53,bench,False
82,Semenyo,Bournemouth,MID,7.8,5.15,18,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,3.65,1,90,XI,True
119,Mbeumo,Man Utd,MID,8.1,3.41,6,76,XI,True
86,Brooks,Bournemouth,MID,5.0,3.25,2,84,XI,True
235,Palmer,Chelsea,MID,10.3,0.51,0,0,bench,False
430,Haaland,Man City,FWD,14.4,9.44,8,90,C,True
661,Ekitiké,Liverpool,FWD,8.7,1.74,1,16,XI,True
599,Scarlett,Spurs,FWD,4.4,0.37,0,0,bench,False
