id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
670,Roefs,Sunderland,GKP,5.0,3.52,2,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,3.28,1,90,bench,False
8,J.Timber,Arsenal,DEF,6.4,9.1,3,180,XI,True
72,Senesi,Bournemouth,DEF,4.8,4.29,2,90,XI,True
5,Gabriel,Arsenal,DEF,7.1,9.9,7,180,C,True
291,Tarkowski,Everton,DEF,5.8,3.83,1,90,XI,True
374,Konaté,Liverpool,DEF,5.4,3.41,6,90,bench,False
237,Enzo,Chelsea,MID,6.9,5.5,2,90,XI,True
449,B.Fernandes,Man Utd,MID,9.8,5.82,2,90,XI,True
21,Rice,Arsenal,MID,7.5,8.91,14,180,V,True
457,Casemiro,Man Utd,MID,5.6,4.11,2,90,XI,True
303,Garner,Everton,MID,5.2,3.29,2,90,bench,False
430,Haaland,Man City,FWD,14.9,7.05,5,45,XI,True
136,Thiago,Brentford,FWD,7.0,3.72,2,90,XI,True
691,Calvert-Lewin,Leeds,FWD,5.9,2.41,0,0,bench,False
