id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
670,Roefs,Sunderland,GKP,5.0,4.14,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,3.37,1,90,bench,False
8,J.Timber,Arsenal,DEF,6.3,4.39,5,90,XI,True
72,Senesi,Bournemouth,DEF,4.8,4.42,8,90,XI,True
291,Tarkowski,Everton,DEF,5.8,3.4,2,90,XI,True
6,Saliba,Arsenal,DEF,6.0,3.29,6,90,XI,True
374,Konaté,Liverpool,DEF,5.4,2.71,11,90,bench,False
449,B.Fernandes,Man Utd,MID,9.5,5.23,10,90,V,True
237,Enzo,Chelsea,MID,6.7,5.03,8,90,XI,True
21,Rice,Arsenal,MID,7.4,4.11,3,90,XI,True
303,Garner,Everton,MID,5.2,2.99,4,90,XI,True
488,Bruno G.,Newcastle,MID,7.2,1.83,0,0,bench,False
430,Haaland,Man City,FWD,15.0,6.36,5,90,C,True
136,Thiago,Brentford,FWD,7.2,3.96,2,90,XI,True
691,Calvert-Lewin,Leeds,FWD,6.0,2.86,2,84,bench,False
