id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.5,4.69,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.59,6,90,bench,False
402,Aït-Nouri,Man City,DEF,6.0,4.37,1,22,XI,True
531,Ballard,Sunderland,DEF,4.6,4.1,1,8,XI,True
6,Saliba,Arsenal,DEF,6.0,4.38,6,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.5,3.44,5,90,XI,True
706,Justin,Leeds,DEF,4.0,1.43,0,0,bench,False
381,M.Salah,Liverpool,MID,14.5,7.11,5,90,C,True
235,Palmer,Chelsea,MID,10.5,5.52,0,0,XI,True
119,Mbeumo,Man Utd,MID,8.0,4.12,2,90,XI,True
82,Semenyo,Bournemouth,MID,7.1,4.73,6,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,3.74,2,90,XI,True
661,Ekitiké,Liverpool,FWD,8.6,5.7,9,79,V,True
599,Scarlett,Spurs,FWD,4.5,0.8,0,0,bench,False
840,Mheuka,Chelsea,FWD,4.5,0.32,0,0,bench,False
