id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.6,4.3,2,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.58,1,90,bench,False
7,Calafiori,Arsenal,DEF,5.7,4.66,1,69,V,True
347,Gudmundsson,Leeds,DEF,4.0,3.87,1,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.6,2.89,2,90,XI,True
6,Saliba,Arsenal,DEF,6.0,2.92,1,45,XI,True
531,Ballard,Sunderland,DEF,4.6,2.07,1,15,bench,True
82,Semenyo,Bournemouth,MID,7.7,5.04,7,90,XI,True
119,Mbeumo,Man Utd,MID,8.1,4.36,2,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,3.66,5,90,XI,True
86,Brooks,Bournemouth,MID,5.0,3.62,1,30,XI,True
235,Palmer,Chelsea,MID,10.4,0.57,0,0,bench,False
430,Haaland,Man City,FWD,14.3,8.65,16,90,C,True
661,Ekitiké,Liverpool,FWD,8.7,0.5,0,0,XI,False
599,Scarlett,Spurs,FWD,4.4,0.38,0,0,bench,False
