id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
670,Roefs,Sunderland,GKP,4.7,3.28,1,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.49,3,90,bench,False
7,Calafiori,Arsenal,DEF,5.8,3.8,1,85,XI,True
256,Muñoz,Crystal Palace,DEF,6.1,3.64,0,0,XI,False
72,Senesi,Bournemouth,DEF,5.0,3.55,8,61,XI,True
374,Konaté,Liverpool,DEF,5.4,3.44,1,90,bench,True
6,Saliba,Arsenal,DEF,6.0,0.32,0,0,bench,False
449,B.Fernandes,Man Utd,MID,9.0,4.7,18,90,XI,True
237,Enzo,Chelsea,MID,6.7,4.26,3,90,XI,True
119,Mbeumo,Man Utd,MID,8.5,3.97,8,90,XI,True
387,Szoboszlai,Liverpool,MID,6.6,3.57,8,90,XI,True
86,Brooks,Bournemouth,MID,5.0,1.9,1,16,bench,False
430,Haaland,Man City,FWD,15.0,6.44,2,68,C,True
136,Thiago,Brentford,FWD,6.8,4.82,2,90,V,True
283,Mateta,Crystal Palace,FWD,8.1,4.01,2,65,XI,True
