id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.7,4.07,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,3.16,2,90,bench,False
7,Calafiori,Arsenal,DEF,5.8,4.47,6,81,V,True
72,Senesi,Bournemouth,DEF,5.0,4.4,5,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.6,2.66,2,90,XI,True
6,Saliba,Arsenal,DEF,6.0,3.77,1,45,XI,True
531,Ballard,Sunderland,DEF,4.6,0.36,2,90,bench,False
449,B.Fernandes,Man Utd,MID,8.9,4.62,4,90,XI,True
82,Semenyo,Bournemouth,MID,8.1,4.61,3,90,XI,True
119,Mbeumo,Man Utd,MID,8.0,3.78,15,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,3.32,10,90,XI,True
86,Brooks,Bournemouth,MID,5.0,0.73,0,21,bench,False
430,Haaland,Man City,FWD,14.7,7.25,2,90,C,True
661,Ekitiké,Liverpool,FWD,8.6,3.79,2,90,XI,True
599,Scarlett,Spurs,FWD,4.4,0.39,0,0,bench,False
