id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
670,Roefs,Sunderland,GKP,4.8,3.93,3,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.59,1,90,bench,False
8,J.Timber,Arsenal,DEF,6.4,4.7,3,90,XI,True
291,Tarkowski,Everton,DEF,5.6,3.56,2,90,XI,True
72,Senesi,Bournemouth,DEF,4.8,3.3,1,90,XI,True
374,Konaté,Liverpool,DEF,5.4,3.15,1,90,bench,False
6,Saliba,Arsenal,DEF,5.9,3.17,1,90,bench,False
237,Enzo,Chelsea,MID,6.4,3.61,11,90,XI,True
21,Rice,Arsenal,MID,7.1,3.97,17,90,XI,True
82,Semenyo,Bournemouth,MID,7.7,3.38,1,90,XI,True
387,Szoboszlai,Liverpool,MID,6.6,3.29,2,90,XI,True
86,Brooks,Bournemouth,MID,5.0,2.06,2,66,bench,False
430,Haaland,Man City,FWD,15.1,6.54,2,90,C,True
283,Mateta,Crystal Palace,FWD,7.6,3.48,2,86,XI,True
136,Thiago,Brentford,FWD,6.9,3.44,17,90,V,True
