id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.9,4.17,1,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,3.25,2,90,bench,False
7,Calafiori,Arsenal,DEF,5.8,4.09,1,90,XI,True
72,Senesi,Bournemouth,DEF,5.0,3.84,2,90,XI,True
374,Konaté,Liverpool,DEF,5.4,2.64,1,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.7,3.32,6,90,XI,True
6,Saliba,Arsenal,DEF,6.0,3.68,1,90,bench,False
449,B.Fernandes,Man Utd,MID,8.9,4.29,5,90,XI,True
82,Semenyo,Bournemouth,MID,8.1,3.75,0,90,XI,True
119,Mbeumo,Man Utd,MID,8.4,3.91,7,90,XI,True
387,Szoboszlai,Liverpool,MID,6.6,3.28,1,90,XI,True
86,Brooks,Bournemouth,MID,5.0,0.66,1,13,bench,False
430,Haaland,Man City,FWD,14.8,7.38,4,90,C,True
283,Mateta,Crystal Palace,FWD,8.0,4.95,2,90,V,True
599,Scarlett,Spurs,FWD,4.3,0.39,0,0,bench,False
