id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.8,3.91,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.8,2,90,bench,False
7,Calafiori,Arsenal,DEF,5.8,4.73,6,71,XI,True
72,Senesi,Bournemouth,DEF,5.0,3.38,3,90,XI,True
374,Konaté,Liverpool,DEF,5.4,4.09,8,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.7,3.3,6,90,XI,True
6,Saliba,Arsenal,DEF,6.0,3.4,6,90,bench,False
449,B.Fernandes,Man Utd,MID,8.9,4.37,5,90,XI,True
82,Semenyo,Bournemouth,MID,8.1,3.69,2,90,XI,True
119,Mbeumo,Man Utd,MID,8.3,3.93,2,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,3.6,2,90,XI,True
86,Brooks,Bournemouth,MID,5.0,0.66,2,61,bench,False
430,Haaland,Man City,FWD,14.8,6.97,13,81,C,True
283,Mateta,Crystal Palace,FWD,7.8,4.8,9,89,V,True
599,Scarlett,Spurs,FWD,4.3,0.39,0,0,bench,False
