id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.9,3.82,2,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.81,2,90,bench,False
7,Calafiori,Arsenal,DEF,5.8,4.62,2,90,XI,True
72,Senesi,Bournemouth,DEF,5.0,4.36,3,90,XI,True
374,Konaté,Liverpool,DEF,5.4,3.64,0,54,XI,True
256,Muñoz,Crystal Palace,DEF,5.8,3.68,14,90,XI,True
6,Saliba,Arsenal,DEF,6.0,3.63,2,90,bench,False
449,B.Fernandes,Man Utd,MID,8.9,4.11,2,90,XI,True
237,Enzo,Chelsea,MID,6.7,5.29,11,90,XI,True
119,Mbeumo,Man Utd,MID,8.6,3.78,1,90,XI,True
387,Szoboszlai,Liverpool,MID,6.6,3.67,2,90,XI,True
86,Brooks,Bournemouth,MID,5.0,2.59,1,60,bench,False
430,Haaland,Man City,FWD,14.9,6.78,2,90,C,True
283,Mateta,Crystal Palace,FWD,8.1,4.7,1,59,V,True
599,Scarlett,Spurs,FWD,4.3,0.38,0,0,bench,False
