id,web_name,team,position,price,predicted,actual,minutes,role,played_after_subs
1,Raya,Arsenal,GKP,5.5,4.61,6,90,XI,True
470,Dúbravka,Burnley,GKP,4.0,2.54,3,90,bench,False
7,Calafiori,Arsenal,DEF,5.7,4.97,5,67,XI,True
347,Gudmundsson,Leeds,DEF,4.0,3.72,0,90,XI,True
256,Muñoz,Crystal Palace,DEF,5.6,3.75,5,90,XI,True
531,Ballard,Sunderland,DEF,4.6,2.42,0,0,XI,True
6,Saliba,Arsenal,DEF,6.1,1.95,0,0,bench,False
381,M.Salah,Liverpool,MID,14.5,5.56,9,90,C,True
82,Semenyo,Bournemouth,MID,7.4,4.74,13,90,XI,True
119,Mbeumo,Man Utd,MID,8.1,3.99,2,90,XI,True
387,Szoboszlai,Liverpool,MID,6.5,4.1,3,90,XI,True
235,Palmer,Chelsea,MID,10.4,3.08,7,34,XI,True
661,Ekitiké,Liverpool,FWD,8.8,4.96,2,71,V,True
599,Scarlett,Spurs,FWD,4.4,0.38,0,0,bench,False
840,Mheuka,Chelsea,FWD,4.5,0.32,0,0,bench,False
